Molecule / Candidate,Entity Class,Relationship to GPR62,Direct GPR62 Evidence,Direct GPR62 PMIDs,Direct GPR62 Paper Count,GPR61,GPR135,MT2,5-HT6,Related Receptors,GPCRLigNet Score,ML Prediction,Experimental Validation,Evidence Level,Literature Score,Priority Score,PubChem CID,SMILES,Related Paper Count
4-Aminopyridine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.04263344034552574,Low,Unvalidated,E,4,0.09821173622459173,1727,C1=CN=CC=C1N,1
Pyrrolidines,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.04426712915301323,Low,Unvalidated,E,3,0.09727363394945861,10176084,C1CC=CNC1,1
Quinolones,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.04229481890797615,Low,Unvalidated,E,3,0.09599163229018451,6038,C1=CC=C2C(=C1)C=CC(=O)N2,1
1-(phenylsulfonyl)-1H-indole,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.0418897420167923,Low,Direct receptor evidence,C,3,0.095728332310915,315017,C1=CC=C(C=C1)S(=O)(=O)N2C=CC3=CC=CC=C32,1
2-aminoimidazole,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.031709786504507065,Low,Direct receptor evidence,C,6,0.09511136122792958,82140,C1=CN=C(N1)N,1
2-propoxybenzamide,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.03924715146422386,Low,Unvalidated,E,3,0.09401064845174552,43051,CCCOC1=CC=CC=C1C(=O)N,1
Corticosterone,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.0452628992497921,Low,Unvalidated,E,0,0.09192088451236487,5753,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,1
Pyrroles,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.03251950815320015,Low,Unvalidated,E,3,0.08963768029958011,8027,C1=CNC=C1,1
"1H-pyrrolo[2,3-f]quinoline",Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.022131912410259247,Low,Unvalidated,E,6,0.08888574306666851,135645806,C1=CNC2=CC=C3C=CN=C3C2=C1,1
quinoline,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.009761938825249672,Low,Direct receptor evidence,C,9,0.08684526023641229,7047,C1=CC=C2C(=C1)C=CC=N2,1
Sulfides,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.027985097840428352,Low,Unvalidated,E,3,0.08669031359627843,402,S,1
Indazoles,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.024643946439027786,Low,Unvalidated,E,3,0.08451856518536807,9221,C1=CC=C2C(=C1)C=NN2,1
Pilocarpine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.003173094242811203,Low,Indirect/context evidence,D,9,0.08256251125782728,5910,CCC1C(COC1=O)CC2=CN=CN2C,4
4-(piperazin-1-yl)-1H-indole,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.014681798405945301,Low,Unvalidated,E,3,0.07804316896386446,594590,C1CN(CCN1)C2=CC=CC3=C2C=CN3,1
"3H-imidazo[4,5-b]pyridine",Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.00476484140381217,Low,Unvalidated,E,6,0.0775971469124779,67504,C1=CC2=C(N=C1)N=CN2,1
quinolin,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.009761938825249672,Low,Unvalidated,E,3,0.07484526023641229,7047,C1=CC=C2C(=C1)C=CC=N2,1
indoline,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.014022205024957657,Low,Indirect/context evidence,D,1,0.07361443326622248,10328,C1CNC2=CC=CC=C21,1
benzimidazole,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.013041622936725616,Low,Unvalidated,E,1,0.07297705490887166,5798,C1=CC=C2C(=C1)NC=N2,1
imidazopyridine,Chemical / small molecule,Predicted candidate from related-receptor literature,No,,,No,No,No,Yes,5-HT6 receptor,0.00476484140381217,Low,Direct receptor evidence,C,3,0.07159714691247791,67504,C1=CC2=C(N=C1)N=CN2,1
